"","id","dam","sire","LLRdam","LLRsire","LLRpair","OHdam","OHsire","MEpair","Sex","BirthYear","loci","weight_g","encolsure"
"65","982000407527038",NA,NA,NA,NA,NA,NA,NA,NA,2,2020,3182,69,"SR"
"66","982000407527043",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,"FL"
"67","982000407527047",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.5,"SL"
"68","982000407527048",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,"FR"
"69","982000407527049",NA,NA,NA,NA,NA,NA,NA,NA,1,2021,2527,54,"FR"
"70","982000407527072",NA,NA,NA,NA,NA,NA,NA,NA,2,2021,2330,NA,NA
"71","982000407527081","982000403281498","7114",2.15,1.96,3.87,0,0,1,1,2021,2735,NA,"SR"
"72","982000407527082",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,"SR"
"73","982000407527091","982000407527205","7047",-1.56,0.67,3.98,3,1,5,2,2021,2617,NA,NA
"74","982000407527099",NA,"M0003",NA,-6.1,NA,NA,NA,NA,1,2021,3015,NA,NA
"75","982000407527110",NA,NA,NA,NA,NA,NA,NA,NA,2,2021,3194,NA,NA
"76","982000407527124","982000407527205","M0001",1.01,1.73,6.51,1,NA,NA,1,2020,3271,61,"FL"
"77","982000407527129",NA,NA,NA,NA,NA,NA,NA,NA,2,2019,3206,55,"SR"
"78","982000407527130",NA,NA,NA,NA,NA,NA,NA,NA,1,2021,2735,51,"SR"
"79","982000407527149","982000407527124",NA,14.18,NA,NA,2,NA,NA,2,2021,3120,54,"FL"
"80","982000407527168",NA,NA,NA,NA,NA,NA,NA,NA,2,2022,2797,83,"FL"
"81","982000407527169",NA,"7114",NA,-0.2,NA,NA,2,NA,2,2021,2524,NA,NA
"82","982000407527183",NA,NA,NA,NA,NA,NA,NA,NA,1,2021,3007,49,"SR"
"83","982000407527205",NA,NA,NA,NA,NA,NA,NA,NA,1,2019,2682,59,"FL"
"84","982000507457114",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,"FR"
"85","985113004547515",NA,NA,NA,NA,NA,NA,NA,NA,1,2022,3256,63,"SL"
"86","985113004547620",NA,NA,NA,NA,NA,NA,NA,NA,2,2022,2487,59,"FL"
"87","985113004547659","F0003","982000407527129",0.62,0.51,8.38,NA,1,NA,2,2021,3044,NA,NA
"88","985113004547684","F0005","982000407526831",-0.31,-1.9,-0.6,NA,2,NA,2,2020,1821,NA,NA
"89","985113004547710","982000407527124",NA,8.65,NA,NA,3,NA,NA,2,2021,2680,51,"FL"
"90","985113004547730",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,"FL"
"91","985113004547749",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.2,"FR"
"92","985113004547857","982000407526882","982000407527129",-3.27,-1.48,-1.3,3,4,9,1,2021,3200,50.5,"SR"
"93","985113004547872","F0005",NA,-0.71,NA,NA,NA,NA,NA,2,2021,3222,NA,NA
"94","985113004547882",NA,NA,NA,NA,NA,NA,NA,NA,1,2021,3194,NA,NA
"95","985113005718806",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,"SL"
"96","985113005718808","F0008","982000407527149",0.59,0.72,-0.98,NA,1,NA,1,2022,1901,65,"FL"
"97","985113005718812","7048","M0002",-0.3,2.12,7.6,2,NA,NA,1,2022,3355,NA,NA
"98","985113005718834","F0001","7114",0.96,-0.54,-0.39,NA,2,NA,1,2022,2756,50,"FR"
"99","985113005718838","F0006","982000407070202",6.37,-4,2.48,NA,3,NA,1,2022,2466,NA,NA
"100","985113005718846","F0006","982000407070202",8.71,-7.53,1.8,NA,5,NA,2,2022,3004,49,"SR"
"101","985113005718847","F0001","M0002",1.39,2.17,2.03,NA,NA,NA,2,2022,2771,60,"FR"
"102","985113005718848",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,"FL"
"103","985113005718853","982000407526923","982000403281567",0.4,1.81,5.95,0,2,5,2,2022,3318,76,"SL"
"104","985113005718861",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,"SL"
"105","985113005718862","F0007","982000403281567",-0.87,2.77,-10.4,NA,1,NA,1,2022,3177,61,"SL"
"106","985113005718862","F0007","982000403281567",-0.87,2.77,-10.4,NA,1,NA,1,2022,3177,61,"SL"
"107","985113005718862","F0007","982000403281567",-0.87,2.77,-10.4,NA,1,NA,1,2022,3177,61,"SL"
"108","985113005718862","F0007","982000403281567",-0.87,2.77,-10.4,NA,1,NA,1,2022,3177,61,"SL"
"109","985113005718868",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.6,"FR"
"110","985113005718869",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,"FL"
"111","985113005718882","7048","M0002",-1.22,0.59,8.46,3,NA,NA,2,2022,3074,65,"FR"
"112","985113005718892","F0002","7043",-0.26,3.42,4.75,NA,2,NA,2,2022,2774,50,"FL"
"113","985113005718894","F0001","M0002",-0.22,1.71,1.03,NA,NA,NA,2,2022,1211,59,"FR"
"114","985113005718895","982000407526988","982000403281567",3.09,1.58,14.51,0,0,1,1,2022,2370,72,"SL"
"115","985113005718896","982000407527081","982000407070202",-0.52,-5.08,0.97,0,0,5,1,2022,3323,47,"SR"
"116","985113005718913",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,"FR"
"117","985113005718916",NA,NA,NA,NA,NA,NA,NA,NA,2,2022,2716,68,"SL"
"118","985113005718924","F0004","982000407527149",1.83,2.49,3.69,NA,0,NA,1,2022,3225,78,"FL"
"119","985113005718929","982000407527081","M0004",0.14,1.54,-93.26,1,NA,NA,2,2022,2312,50,"FL"
"120","985113005718937","F0002","7043",0.14,8.33,3.86,NA,1,NA,1,2022,3086,48,"SR"
"121","985113005718938","F0006","982000407070202",6.73,-1.37,3.84,NA,1,NA,1,2022,2358,57,"SR"
"122","985113005718942","982000407527205","M0003",-2.33,1.01,-5.79,4,NA,NA,2,2022,3220,56,"FL"
"123","985113005718953",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,"FL"
"124","985113005718958",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,"FR"
"125","985113005718959","982000407526923",NA,-2.43,NA,NA,4,NA,NA,1,2022,3235,79,"SL"
"126","985113005718961","F0004","982000407527149",-0.53,-4.62,0.81,NA,1,NA,2,2022,2300,76,"FL"
"127","985113005718965",NA,NA,NA,NA,NA,NA,NA,NA,2,2022,2136,52,"SR"
"128","985113005718966","F0006","982000407070202",6.04,-2.96,0.15,NA,3,NA,1,2022,2849,50,"SR"
"129","985113005718974",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,"SL"
"130","985113005718977","F0005","982000407526831",1.05,-1.34,6.13,NA,3,NA,1,2022,2581,77,"SL"
"131","985113005718981",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,"FL"
"132","985113005718982","1492",NA,0.18,NA,NA,3,NA,NA,1,2022,2596,68,"SL"
"133","985113005718984",NA,"982000403281567",NA,4.49,NA,NA,0,NA,1,2022,3364,NA,NA
"134","985113005718985",NA,NA,NA,NA,NA,NA,NA,NA,2,2022,3172,69,"SL"
"135","985113005718990","1492","982000403281567",8.01,-0.71,4.28,2,1,6,2,2022,3058,79,"SL"
"136","985113005718991","F0005","982000407526831",0.5,0.71,6.15,NA,1,NA,1,2022,3041,77,"SL"
"137","985113005718993","F0005","982000407526831",0.68,0.18,0.79,NA,1,NA,1,2022,3333,75,"SL"
"138","985113005718997","F0006","982000407070202",11.52,-2.32,5.15,NA,3,NA,1,2022,3223,61,"SR"
"139","985113005718998","982000403281498","982000407070202",-0.87,-2.91,1.53,0,1,2,1,2022,2155,48,"SR"
"140","985113005718999","F0005","982000407526831",1.1,0.11,5.2,NA,2,NA,2,2022,3208,68,"SL"
"141","985113005719001","F0009","982000407527129",1.75,-0.49,1.81,NA,1,NA,2,2022,1435,48,"FL"
"142","985113005719027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,"FL"
"143","985113005719030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,"SR"
"144","985113005719043",NA,NA,NA,NA,NA,NA,NA,NA,1,2022,3251,80,"SL"
"145","985113005719050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,"FL"
"146","985113005719062",NA,"982000403281567",NA,0.35,NA,NA,1,NA,2,2022,2553,65,"SL"
"147","985113005719072","1492",NA,3.25,NA,NA,4,NA,NA,2,2022,3262,65,"SL"
"148","985113005719076",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"FR"
"149","985113005719079",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,"FL"
"150","985113005719084","7048","M0002",0.41,1.31,7.95,0,NA,NA,2,2022,3272,71,"FR"
"151","985113005719085","982000407526988","982000403281567",7.17,1.31,11.43,1,1,5,2,2022,2377,71,"SL"
"152","985113005719104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,"FL"
"153","985113005719114","7749","7114",0.75,2.39,2.12,0,0,3,2,2022,3252,76,"FR"
"154","985113005719116","982000403281537","982000407070202",1.04,-4.51,0.97,2,3,11,2,2022,3145,71,"FL"
"155","985113005719129",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,"FR"
"156","985113005719136","F0001","7114",0.49,2.16,2.97,NA,0,NA,2,2022,2589,50.3,"FR"
"157","985113005719137",NA,NA,NA,NA,NA,NA,NA,NA,1,2022,2594,73,"FR"
"158","985113005719152","7749",NA,0.38,NA,NA,0,NA,NA,2,2022,2903,59,"FR"
"159","985113005719176",NA,"982000407527169",NA,1.29,NA,NA,0,NA,1,2022,1259,52,"SR"
"160","985113005719183",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,"SR"
"161","985113005719193","985113004547857","982000407527169",1.42,9.07,1.04,2,2,8,1,2022,2642,NA,NA
"162","985113005719199",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,"FL"
"163","985113005719201","F0001","7114",1.1,1,2.43,NA,1,NA,1,2022,3101,61,"FR"
"164","985113005719211",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.9,"FR"
"165","985113005719223","F0004","982000403281504",0.66,6.99,-1.18,NA,2,NA,2,2022,3286,81,"FL"
"166","985113005719233",NA,NA,NA,NA,NA,NA,NA,NA,2,2022,2472,76,"FR"
"167","985113005719237",NA,"7114",NA,-0.13,NA,NA,3,NA,2,2022,3104,72.8,"FR"
"168","985113005719242","985113004547857",NA,4.74,NA,NA,4,NA,NA,1,2022,2729,46,"SR"
"169","985113005719244","F0001","7114",0.42,1.14,2.03,NA,1,NA,2,2022,3096,76.5,"FR"
"170","985113005719262",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,"FR"
"171","985113005719276","985113004547857","982000407070202",0.93,-3.18,2.17,2,2,7,2,2022,3297,49,"SR"
"172","985113005719303",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,"FL"
"173","F0001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","F0002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","F0003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","F0004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","F0005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","F0006","982000403281537","7114",4.72,0.81,5.86,NA,NA,NA,NA,NA,NA,NA,NA
"179","F0007","F0005",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","F0008",NA,"M0001",NA,-1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","F0009","982000403281537","982000407070202",1.77,1.17,3.66,NA,NA,NA,NA,NA,NA,NA,NA
"182","M0001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","M0002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","M0003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","M0004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","untagged_female_1","982000407526882","982000407527129",-1.22,-1.75,1.53,1,4,7,1,2022,2872,53,"SR"
"187","untagged_female_2","982000403281537","982000407070202",-0.17,-0.94,3.11,1,2,6,1,2022,3197,53,"SR"
