"","id","dam","sire","LLRdam","LLRsire","LLRpair","OHdam","OHsire","MEpair"
"91","985113005718882","7048","M0002",-1.22,0.59,8.46,3,NA,NA
"92","985113005718892","F0002","7043",-0.26,3.42,4.75,NA,2,NA
"93","985113005718894","F0001","M0002",-0.22,1.71,1.03,NA,NA,NA
"94","985113005718895","982000407526988","982000403281567",3.09,1.58,14.51,0,0,1
"95","985113005718896","982000407527081","982000407070202",-0.52,-5.08,0.97,0,0,5
"96","985113005718916",NA,NA,NA,NA,NA,NA,NA,NA
"97","985113005718924","F0004","982000407527149",1.83,2.49,3.69,NA,0,NA
"98","985113005718929","982000407527081","M0004",0.14,1.54,-93.26,1,NA,NA
"99","985113005718937","F0002","7043",0.14,8.33,3.86,NA,1,NA
"100","985113005718938","F0006","982000407070202",6.73,-1.37,3.84,NA,1,NA
"101","985113005718942","982000407527205","M0003",-2.33,1.01,-5.79,4,NA,NA
"102","985113005718959","982000407526923",NA,-2.43,NA,NA,4,NA,NA
"103","985113005718961","F0004","982000407527149",-0.53,-4.62,0.81,NA,1,NA
"104","985113005718965",NA,NA,NA,NA,NA,NA,NA,NA
"105","985113005718966","F0006","982000407070202",6.04,-2.96,0.15,NA,3,NA
"106","985113005718977","F0005","982000407526831",1.05,-1.34,6.13,NA,3,NA
"107","985113005718982","1492",NA,0.18,NA,NA,3,NA,NA
"108","985113005718984",NA,"982000403281567",NA,4.49,NA,NA,0,NA
"109","985113005718985",NA,NA,NA,NA,NA,NA,NA,NA
"110","985113005718990","1492","982000403281567",8.01,-0.71,4.28,2,1,6
"111","985113005718991","F0005","982000407526831",0.5,0.71,6.15,NA,1,NA
"112","985113005718993","F0005","982000407526831",0.68,0.18,0.79,NA,1,NA
"113","985113005718997","F0006","982000407070202",11.52,-2.32,5.15,NA,3,NA
"114","985113005718998","982000403281498","982000407070202",-0.87,-2.91,1.53,0,1,2
"115","985113005718999","F0005","982000407526831",1.1,0.11,5.2,NA,2,NA
"116","985113005719001","F0009","982000407527129",1.75,-0.49,1.81,NA,1,NA
"117","985113005719043",NA,NA,NA,NA,NA,NA,NA,NA
"118","985113005719062",NA,"982000403281567",NA,0.35,NA,NA,1,NA
"119","985113005719072","1492",NA,3.25,NA,NA,4,NA,NA
"120","985113005719084","7048","M0002",0.41,1.31,7.95,0,NA,NA
"121","985113005719085","982000407526988","982000403281567",7.17,1.31,11.43,1,1,5
"122","985113005719114","7749","7114",0.75,2.39,2.12,0,0,3
"123","985113005719116","982000403281537","982000407070202",1.04,-4.51,0.97,2,3,11
"124","985113005719136","F0001","7114",0.49,2.16,2.97,NA,0,NA
"125","985113005719137",NA,NA,NA,NA,NA,NA,NA,NA
"126","985113005719152","7749",NA,0.38,NA,NA,0,NA,NA
"127","985113005719176",NA,"982000407527169",NA,1.29,NA,NA,0,NA
"128","985113005719193","985113004547857","982000407527169",1.42,9.07,1.04,2,2,8
"129","985113005719201","F0001","7114",1.1,1,2.43,NA,1,NA
"130","985113005719223","F0004","982000403281504",0.66,6.99,-1.18,NA,2,NA
"131","985113005719237",NA,"7114",NA,-0.13,NA,NA,3,NA
"132","985113005719242","985113004547857",NA,4.74,NA,NA,4,NA,NA
"133","985113005719244","F0001","7114",0.42,1.14,2.03,NA,1,NA
"134","985113005719276","985113004547857","982000407070202",0.93,-3.18,2.17,2,2,7
"135","untagged_female_1","982000407526882","982000407527129",-1.22,-1.75,1.53,1,4,7
"136","untagged_female_2","982000403281537","982000407070202",-0.17,-0.94,3.11,1,2,6
"137","F0001",NA,NA,NA,NA,NA,NA,NA,NA
"138","F0002",NA,NA,NA,NA,NA,NA,NA,NA
"139","F0003",NA,NA,NA,NA,NA,NA,NA,NA
"140","F0004",NA,NA,NA,NA,NA,NA,NA,NA
"141","F0005",NA,NA,NA,NA,NA,NA,NA,NA
"142","F0006","982000403281537","7114",4.72,0.81,5.86,NA,NA,NA
"143","F0007","F0005",NA,0,NA,NA,NA,NA,NA
"144","F0008",NA,"M0001",NA,-1.1,NA,NA,NA,NA
"145","F0009","982000403281537","982000407070202",1.77,1.17,3.66,NA,NA,NA
"146","M0001",NA,NA,NA,NA,NA,NA,NA,NA
"147","M0002",NA,NA,NA,NA,NA,NA,NA,NA
"148","M0003",NA,NA,NA,NA,NA,NA,NA,NA
"149","M0004",NA,NA,NA,NA,NA,NA,NA,NA
